name	kind	description	growth rate	learn set	hp	attk	def	speed	spcattk	spdef	baseexp	breedingcomp	eggmoves	gender	happiness	steps to hatch egg	"wild items (25%,8%"	type	tms/hms
METAPOD	Cocoon Pokémon	"Water-repellent powder on its wings enables it to collect honey, even in the heav- iest of rains."	"Medium (max: 1,000,000 EXP)"	"  1,106,  7,106"	50	20	55	30	25	25	72	"3,3"		"50% female, 50% male"	70	3840	","	BUG	                                                                                                                  
BUTTERFREE	Butterfly Pokémon	It attacks using a two-inch poison barb on its head. It can usually be found under the leaves it eats.	"Medium (max: 1,000,000 EXP)"	"  1, 93, 10, 93, 13, 77, 14, 78, 15, 79, 18, 48, 23, 18, 28, 16, 34, 60, 40,219"	60	45	50	70	80	80	160	"3,3"		"50% female, 50% male"	70	3840	",BIG MUSHROOM"	BUG/FLYING	    03    06      10111213  15  17  19202122        27  29    32  3435      39        4445        50        H5    
WEEDLE	Hairy Bug Pokémon	"From this form, it will grow into an adult. As its body becomes soft- er, the external shell hardens."	"Medium (max: 1,000,000 EXP)"	"  1, 40,  1, 81"	40	35	30	50	20	20	52	"3,3"		"50% female, 50% male"	70	3840	","	BUG/POISON	                                                                                                                  
KAKUNA	Cocoon Pokémon	It has three poison barbs. The barb on its tail secretes the most powerful poison.	"Medium (max: 1,000,000 EXP)"	"  1,106,  7,106"	45	25	50	35	25	25	71	"3,3"		"50% female, 50% male"	70	3840	","	BUG/POISON	                                                                                                                  
BEEDRILL	Poison Bee Pokémon	"Common in grassy areas and forests, it is very docile and will chase off enemies by flap- ping up sand."	"Medium (max: 1,000,000 EXP)"	"  1, 31, 10, 31, 15,116, 20, 41, 25, 99, 30,228, 35, 42, 40, 97"	65	80	40	75	45	80	159	"3,3"		"50% female, 50% male"	70	3840	",ICE BERRY"	BUG/POISON	    03    06      10111213  15  17  192021          27        32  343536    39        4445      49  H1            
PIDGEY	Tiny Bird Pokémon	"It immobilizes its prey using well- developed claws, then carries the prey more than 60 miles to its nest."	"Parabolic (max: 1,059,860 EXP)"	"  1, 33,  5, 28,  9, 16, 15, 98, 21, 18, 29, 17, 37, 97, 47,119"	40	45	40	56	35	35	55	"4,4"	"228, 185, 193, 211"	"50% female, 50% male"	70	3840	","	NORMAL/FLYING	    03    06      1011  13      17    2021          27      3132  3435      39      4344454647        H2          
PIDGEOTTO	Bird Pokémon	It spreads its beautiful wings wide to frighten its enemies. It can fly at Mach 2 speed.	"Parabolic (max: 1,059,860 EXP)"	"  1, 33,  1, 28,  1, 16,  5, 28,  9, 16, 15, 98, 23, 18, 33, 17, 43, 97, 55,119"	63	60	55	71	50	50	113	"4,4"		"50% female, 50% male"	70	3840	","	NORMAL/FLYING	    03    06      1011  13      17    2021          27      3132  3435      39      4344454647        H2          
PIDGEOT	Bird Pokémon	"Living wherever there is food available, it ceaselessly scav- enges for edibles the entire day."	"Parabolic (max: 1,059,860 EXP)"	"  1, 33,  1, 28,  1, 16,  1, 98,  5, 28,  9, 16, 15, 98, 23, 18, 33, 17, 46, 97, 61,119"	83	80	75	91	70	70	172	"4,4"		"50% female, 50% male"	70	3840	","	NORMAL/FLYING	    03    06      1011  13  15  17    2021          27      3132  3435      39      4344454647        H2          
RATTATA	Mouse Pokémon	"Its whiskers help it to maintain balance. Its fangs never stop grow- ing, so it gnaws to pare them down."	"Medium (max: 1,000,000 EXP)"	"  1, 33,  1, 39,  7, 98, 13,158, 20,116, 27,228, 34,162"	30	56	35	72	25	35	57	"5,5"	"103, 172, 154, 44, 68, 179"	"50% female, 50% male"	70	3840	","	NORMAL	  0203    06  08  1011  1314  1617    2021  23  25  2728  303132  3435      3940      444546                      
RATICATE	Mouse Pokémon	"Very protective of its territory, it flaps its short wings busily to dart around at high speed."	"Medium (max: 1,000,000 EXP)"	"  1, 33,  1, 39,  1, 98,  7, 98, 13,158, 20,184, 30,228, 40,162"	55	81	60	97	50	70	116	"5,5"		"50% female, 50% male"	70	3840	","	NORMAL	  0203  0506  08  1011  1314151617    2021  23  25  2728  303132  3435      3940      444546        H1    H4      
SPEAROW	Tiny Bird Pokémon	"It cleverly uses its thin, long beak to pluck and eat small insects that hide under the ground."	"Medium (max: 1,000,000 EXP)"	"  1, 64,  1, 45,  7, 43, 13, 31, 25,228, 31,119, 37, 65, 43, 97"	40	60	30	70	31	31	58	"4,4"	"185, 206, 184, 98, 161"	"50% female, 50% male"	70	3840	","	NORMAL/FLYING	    03    06      1011  13      17    2021          27      3132  3435      39      4344454647        H2          
FEAROW	Beak Pokémon	"It always hides in grass. When first born, it has no poison, so its bite is painful, but harmless."	"Medium (max: 1,000,000 EXP)"	"  1, 64,  1, 45,  1, 43,  1, 31,  7, 43, 13, 31, 26,228, 32,119, 40, 65, 47, 97"	65	90	65	100	61	61	162	"4,4"		"50% female, 50% male"	70	3840	",SOFT SAND"	NORMAL/FLYING	    03    06      1011  13  15  17    2021          27      3132  3435      39      4344454647        H2          
EKANS	Snake Pokémon	"With a very venge- ful nature, it won't give up the chase, no matter how far, once it targets its prey."	"Medium (max: 1,000,000 EXP)"	"  1, 35,  1, 43,  9, 40, 15, 44, 23,137, 29,103, 37, 51, 43,114"	35	60	44	55	40	54	62	"5,14"	"228, 21, 180, 251"	"50% female, 50% male"	70	5120	","	POISON	  0203    06      1011  13      17  192021        262728      32  343536              444546              H4      
ARBOK	Cobra Pokémon	It raises its tail to check its sur- roundings. The tail is sometimes struck by light- ning in this pose.	"Medium (max: 1,000,000 EXP)"	"  1, 35,  1, 43,  1, 40,  1, 44,  9, 40, 15, 44, 25,137, 33,103, 43, 51, 51,114"	60	85	69	80	65	79	147	"5,14"		"50% female, 50% male"	70	5120	","	POISON	  0203    06      1011  13  15  17  192021        262728      32  343536              444546              H4      
PIKACHU	Mouse Pokémon	"If the electric pouches in its cheeks become fully charged, both ears will stand straight up."	"Medium (max: 1,000,000 EXP)"	"  1, 84,  1, 45,  6, 39,  8, 86, 11, 98, 15,104, 20, 21, 26, 85, 33, 97, 41, 87, 50,113"	35	55	30	90	50	40	82	"5,6"		"50% female, 50% male"	70	2560	",UP-GRADE"	ELECTRIC	01020304  0607    10    13      1718  2021  23  25  27      3132  3435      394041  434445                H4H5    
RAICHU	Mouse Pokémon	"Disliking water, it lives in deep burrows in arid areas. It can roll itself instantly into a ball."	"Medium (max: 1,000,000 EXP)"	"  1, 84,  1, 39,  1, 98,  1, 85"	60	90	55	100	90	80	122	"5,6"		"50% female, 50% male"	70	2560	",UP-GRADE"	ELECTRIC	01020304  0607    10    13  15  1718  2021  23  25  27      3132  3435      394041  43444546              H4H5    
SANDSHREW	Mouse Pokémon	"If it digs at an incredible pace, it may snap off its spikes and claws. They grow back in a day."	"Medium (max: 1,000,000 EXP)"	"  1, 10,  6,111, 11, 28, 17, 40, 23,163, 30,129, 37,154, 45,201"	50	75	85	40	20	30	93	"5,5"	"175, 219, 68, 229"	"50% female, 50% male"	70	5120	","	GROUND	01020304  06  08  1011  13      17    2021  23    262728    3132  3435  37  3940    43444546    49  H1    H4      
SANDSLASH	Mouse Pokémon	"Although not very combative, it will torment its foes with poison spikes if it is threat- ened in any way."	"Medium (max: 1,000,000 EXP)"	"  1, 10,  1,111,  1, 28,  6,111, 11, 28, 17, 40, 24,163, 33,129, 42,154, 52,201"	75	100	110	65	45	55	163	"5,5"		"50% female, 50% male"	70	5120	","	GROUND	01020304  06  08  1011  13  15  17    2021  23    262728    3132  3435  37  3940    43444546    49  H1    H4      
NIDORANfE	Poison Pin Pokémon	"It has a calm and caring nature. Because its horn grows slowly, it prefers not to fight."	"Parabolic (max: 1,059,860 EXP)"	"  1, 45,  1, 33,  8, 10, 12, 24, 17, 40, 23, 39, 30, 44, 38,154"	55	47	52	41	40	40	59	"1,5"	"48, 50, 36, 116, 204, 68, 251"	Always female	70	5120	","	POISON	  0203    06      1011  1314    1718  2021  23  25  27      3132  3435        40    43444546                      
NIDORINA	Poison Pin Pokémon	"It uses its scaly, rugged body to seal the entrance of its nest and protect its young from predators."	"Parabolic (max: 1,059,860 EXP)"	"  1, 45,  1, 33,  8, 10, 12, 24, 19, 40, 27, 39, 36, 44, 46,154"	70	62	67	56	55	55	117	"15,15"		Always female	70	5120	","	POISON	  0203    06  08  1011  1314    1718  2021  23  25  27      3132  3435        40    43444546              H4      
NIDOQUEEN	Drill Pokémon	It raises its big ears to check its surroundings. It will strike first if it senses any danger.	"Parabolic (max: 1,059,860 EXP)"	"  1, 33,  1, 10,  1, 24,  1, 39, 23, 34"	90	82	87	76	75	85	194	"15,15"		Always female	70	5120	","	POISON/GROUND	010203  0506  08  1011  131415161718  2021  23  252627    303132333435  3738  4041  43444546  4849      H3H4      
NIDORANmA	Poison Pin Pokémon	"Quick to anger, it stabs enemies with its horn to inject a powerful poison when it becomes agitated."	"Parabolic (max: 1,059,860 EXP)"	"  1, 43,  1, 33,  8, 30, 12, 24, 17, 40, 23,116, 30, 31, 38, 32"	46	57	40	50	40	40	60	"1,5"	"48, 50, 36, 93, 133, 68, 251"	Always male	70	5120	","	POISON	  0203    06      1011  1314    1718  2021  23  25  27      3132  3435        40    43444546                      
NIDORINO	Poison Pin Pokémon	"Its tail is thick and powerful. If it binds an enemy, it can snap the victim's spine quite easily."	"Parabolic (max: 1,059,860 EXP)"	"  1, 43,  1, 33,  8, 30, 12, 24, 19, 40, 27,116, 36, 31, 46, 32"	61	72	57	65	55	55	118	"1,5"		Always male	70	5120	","	POISON	  0203    06  08  1011  1314    1718  2021  23  25  27      3132  3435        40    43444546              H4      
NIDOKING	Drill Pokémon	"Its adorable be- havior and cry make it highly popular. However, this cute POKéMON is rarely found."	"Parabolic (max: 1,059,860 EXP)"	"  1, 33,  1, 30,  1, 24,  1, 40, 23, 37"	81	92	77	85	85	75	195	"1,5"		Always male	70	5120	","	POISON/GROUND	010203  0506  08  1011  131415161718  2021  23  252627    303132333435  3738  4041  43444546  4849      H3H4      
CLEFAIRY	Fairy Pokémon	"Its very sensitive ears lets it dis- tinguish distant sounds. As a re- sult, it prefers quiet places."	"Fast (max: 800,000 EXP)"	"  1,  1,  1, 45,  4,227,  8, 47, 13,  3, 19,107, 26,111, 34,118, 43,236, 53,113"	70	45	48	35	60	65	68	"6,6"		"75% female, 25% male"	140	2560	"TERU-SAMA,BICYCLE"	NORMAL	01020304  0607  091011  1314    1718  20212223  25  27  29303132333435    38  404142434445    48  50      H4H5    
CLEFABLE	Fairy Pokémon	"If it is attacked by an enemy that is stronger than itself, it feigns injury to fool the enemy and escapes."	"Fast (max: 800,000 EXP)"	"  1, 47,  1,  3,  1,118,  1,236"	95	70	73	60	85	90	129	"6,6"		"75% female, 25% male"	140	2560	"TERU-SAMA,BICYCLE"	NORMAL	01020304  0607  091011  131415  1718  20212223  25  27  29303132333435    38  404142434445    48  50      H4H5    
VULPIX	Fox Pokémon	"Its nine beautiful tails are filled with a wondrous energy that could keep it alive for 1,000 years."	"Medium (max: 1,000,000 EXP)"	"  1, 52,  1, 39,  7, 98, 13, 46, 19,109, 25,219, 31, 53, 37, 83"	38	41	40	65	50	65	63	"5,5"	"185, 95, 175, 180, 50"	"75% female, 25% male"	70	5120	"PRZCUREBERRY,PRZCUREBERRY"	FIRE	  0203    06      1011  13      17    2021  23      2728      32  3435    3839        4445                        
NINETALES	Fox Pokémon	"Looking into its cute, round eyes causes it to sing a relaxing melody, inducing its enemies to sleep."	"Medium (max: 1,000,000 EXP)"	"  1, 52,  1, 98,  1,109,  1,219, 43, 83"	73	76	75	100	81	100	178	"5,5"		"75% female, 25% male"	70	5120	"PRZCUREBERRY,PRZCUREBERRY"	FIRE	  0203  0506      1011  13  15  17    2021  23      2728      32  3435    3839        4445                        
JIGGLYPUFF	Balloon Pokémon	"It has a very fine fur. Take care not to make it angry, or it may inflate steadily and hit with a BODY SLAM."	"Fast (max: 800,000 EXP)"	"  1, 47,  4,111,  9,  1, 14, 50, 19,205, 24,  3, 29,156, 34, 34, 39, 38"	115	45	20	20	45	25	76	"6,6"		"75% female, 25% male"	70	2560	","	NORMAL	01020304  0607  091011  1314    1718  202122    25  27  29303132333435    38  404142434445    48  50      H4H5    
WIGGLYTUFF	Balloon Pokémon	"Capable of flying safely in dark places, it emits ultrasonic cries to check for any obstacles."	"Fast (max: 800,000 EXP)"	"  1, 47,  1, 50,  1,111,  1,  3"	140	70	45	45	75	50	109	"6,6"		"75% female, 25% male"	70	2560	","	NORMAL	01020304  0607  091011  131415  1718  202122    25  27  29303132333435    38  404142434445    48  50      H4H5    
ZUBAT	Bat Pokémon	"It can drink more than 10 ounces of blood at once. If it has too much, it gets heavy and flies clumsily."	"Medium (max: 1,000,000 EXP)"	"  1,141,  6, 48, 12, 44, 19,109, 27, 17, 36,212, 46,114"	40	45	35	55	30	40	54	"4,4"	"98, 228, 185, 16, 18"	"50% female, 50% male"	70	3840	","	POISON/FLYING	    03    06      1011  13      17  192021          27        32  3435      39      4344454647                    
GOLBAT	Bat Pokémon	"If exposed to moonlight, it starts to move. It roams far and wide at night to scatter its seeds."	"Medium (max: 1,000,000 EXP)"	"  1,103,  1,141,  1, 48,  6, 48, 12, 44, 19,109, 30, 17, 42,212, 55,114"	75	80	70	90	65	75	171	"4,4"		"50% female, 50% male"	70	3840	","	POISON/FLYING	    03    06      1011  13  15  17  192021          27        32  3435      39      4344454647                    
ODDISH	Weed Pokémon	"It secretes a sticky, drool-like honey. Although sweet, it smells too repulsive to get very close."	"Parabolic (max: 1,059,860 EXP)"	"  1, 71,  7,230, 14, 77, 16, 78, 18, 79, 23, 51, 32,236, 39, 80"	45	50	55	30	75	65	78	"7,7"	"14, 75, 175, 235, 204"	"50% female, 50% male"	70	5120	","	GRASS/POISON	    03    06      10111213      17  19202122        27        32  343536              4445          H1      H5    
GLOOM	Weed Pokémon	"The bud bursts into bloom with a bang. It then starts scattering allergenic, poi- sonous pollen."	"Parabolic (max: 1,059,860 EXP)"	"  1, 71,  1,230,  1, 77,  7,230, 14, 77, 16, 78, 18, 79, 24, 51, 35,236, 44, 80"	60	65	70	40	85	75	132	"7,7"		"50% female, 50% male"	70	5120	","	GRASS/POISON	    03    06      10111213      17  19202122        27        32  343536              4445          H1      H5    
VILEPLUME	Flower Pokémon	"As its body grows large, oriental mushrooms named tochukaso start sprouting out of its back."	"Parabolic (max: 1,059,860 EXP)"	"  1, 71,  1,230,  1, 78,  1, 80"	75	80	85	50	100	90	184	"7,7"		"50% female, 50% male"	70	5120	","	GRASS/POISON	    03    06      10111213  15  17  19202122        27        32  343536              4445          H1      H5    
PARAS	Mushroom Pokémon	"The larger the mushroom on its back grows, the stronger the mush- room spores it scatters."	"Medium (max: 1,000,000 EXP)"	"  1, 10,  7, 78, 13, 77, 19,141, 25,147, 31,163, 37, 74, 43,202"	35	70	55	25	45	55	70	"3,7"	"206, 103, 68, 60, 175, 230, 113, 228"	"50% female, 50% male"	70	5120	"RED APRICORN,TINYMUSHROOM"	BUG/GRASS	    03    06  08  10111213      17  19202122        2728      32  343536              444546    49  H1      H5    
PARASECT	Mushroom Pokémon	Poison oozes from all over its body. It catches and eats small bugs at night that are at- tracted by light.	"Medium (max: 1,000,000 EXP)"	"  1, 10,  1, 78,  1, 77,  7, 78, 13, 77, 19,141, 28,147, 37,163, 46, 74, 55,202"	60	95	80	30	60	80	128	"3,7"		"50% female, 50% male"	70	5120	"RED APRICORN,TINYMUSHROOM"	BUG/GRASS	    03    06  08  10111213  15  17  19202122        2728      32  343536              444546    49  H1      H5    
VENONAT	Insect Pokémon	"The powder on its wings is poisonous if it is dark in color. If it is light, it causes paralysis."	"Medium (max: 1,000,000 EXP)"	"  1, 33,  1, 50,  1,193,  9, 48, 17, 93, 20, 77, 25,141, 28, 78, 33, 60, 36, 79, 41, 94"	60	55	50	45	40	55	75	"3,3"	"226, 103, 202"	"50% female, 50% male"	70	5120	","	BUG/POISON	    03    06      10111213      17  19202122        27  29    32  343536    39        444546                      
VENOMOTH	Poison Moth Pokémon	"If a DIGLETT DIGS through a field, it leaves the soil perfectly tilled and ideal for planting crops."	"Medium (max: 1,000,000 EXP)"	"  1, 33,  1, 50,  1,193,  1, 48,  9, 48, 17, 93, 20, 77, 25,141, 28, 78, 31, 16, 36, 60, 42, 79, 52, 94"	70	65	60	90	90	75	138	"3,3"		"50% female, 50% male"	70	5120	","	BUG/POISON	    03    06      10111213  15  17  19202122        27  29    32  343536    39        444546                H5    
DIGLETT	Mole Pokémon	"Extremely power- ful, they can DIG through even the hardest ground to a depth of over 60 miles."	"Medium (max: 1,000,000 EXP)"	"  1, 10,  5, 45,  9,222, 17, 91, 25, 28, 33,163, 41, 89, 49, 90"	10	55	25	95	35	45	81	"5,5"	"185, 103, 246, 228, 251"	"50% female, 50% male"	70	5120	","	GROUND	    03    06  08  1011  13      17    2021        262728    3132  343536              444546        H1            
DUGTRIO	Mole Pokémon	It loves anything that shines. It especially adores coins that it picks up and se- cretly hoards.	"Medium (max: 1,000,000 EXP)"	"  1, 10,  1, 45,  1,222,  5, 45,  9,222, 17, 91, 25, 28, 37,163, 49, 89, 61, 90"	35	80	50	120	50	70	153	"5,5"		"50% female, 50% male"	70	5120	","	GROUND	    03    06  08  1011  13  15  17    2021        262728    3132  343536              444546        H1            
MEOWTH	Scratch Cat Pokémon	Its lithe muscles allow it to walk without making a sound. It attacks in an instant.	"Medium (max: 1,000,000 EXP)"	"  1, 10,  1, 45, 11, 44, 20,  6, 28,185, 35,103, 41,154, 46,163"	40	45	35	90	40	40	69	"5,5"	"180, 204, 95, 133"	"50% female, 50% male"	70	5120	","	NORMAL	  0203    0607  091011  13    1617    2021  23  25  27    303132  3435      3940  4243444546      50              
PERSIAN	Classy Cat Pokémon	"If its chronic headache peaks, it may exhibit odd powers. It seems unable to recall such an episode."	"Medium (max: 1,000,000 EXP)"	"  1, 10,  1, 45,  1, 44, 11, 44, 20,  6, 29,185, 38,103, 46,154, 53,163"	65	70	60	115	65	65	148	"5,5"		"50% female, 50% male"	70	5120	","	NORMAL	  0203  050607  091011  13  151617    2021  23  25  27    303132  3435      3940  4243444546      50              
PSYDUCK	Duck Pokémon	It appears by waterways at dusk. It may use tele- kinetic powers if its forehead glows mysteriously.	"Medium (max: 1,000,000 EXP)"	"  1, 10,  5, 39, 10, 50, 16, 93, 23,103, 31,244, 40,154, 50, 56"	50	52	48	55	65	50	80	"2,5"	"58, 95, 60, 193, 113, 248, 94"	"50% female, 50% male"	70	5120	","	WATER	010203    06  080910    1314  161718  2021  23      2728    3132333435      39        4445              H3H4H5H6H7
GOLDUCK	Duck Pokémon	It's unsafe to ap- proach if it gets violently enraged for no reason and can't distinguish friends from foes.	"Medium (max: 1,000,000 EXP)"	"  1, 10,  1, 39,  1, 50,  1, 93,  5, 39, 10, 50, 16, 93, 23,103, 31,244, 44,154, 58, 56"	80	82	78	85	95	80	174	"2,5"		"50% female, 50% male"	70	5120	","	WATER	010203    06  080910    131415161718  2021  23      2728    3132333435      39        4445      49      H3H4H5H6H7
MANKEY	Pig Monkey Pokémon	It becomes wildly furious if it even senses someone looking at it. It chases anyone that meets its glare.	"Medium (max: 1,000,000 EXP)"	"  1, 10,  1, 43,  9, 67, 15,  2, 21,154, 27,116, 33, 69, 39,238, 45,103, 51, 37"	40	80	35	70	35	45	74	"5,5"	"157, 193, 96, 68, 179, 251"	"50% female, 50% male"	70	5120	","	FIGHTING	010203    06  08091011  13      17    2021  23  25  2728    3132333435      394041  43444546  48          H4      
PRIMEAPE	Pig Monkey Pokémon	"Extremely loyal, it will fearlessly bark at any oppo- nent to protect its own trainer from harm."	"Medium (max: 1,000,000 EXP)"	"  1, 10,  1, 43,  1, 67,  1, 99,  9, 67, 15,  2, 21,154, 27,116, 28, 99, 36, 69, 45,238, 54,103, 63, 37"	65	105	60	95	60	70	149	"5,5"		"50% female, 50% male"	70	5120	","	FIGHTING	010203    06  08091011  13  15  17    2021  23  25  2728    3132333435      394041  43444546  48          H4      
GROWLITHE	Puppy Pokémon	Its magnificent bark conveys a sense of majesty. Anyone hearing it can't help but grovel before it.	"Slow (max: 1,250,000 EXP)"	"  1, 44,  1, 46,  9, 52, 18, 43, 26, 36, 34,172, 42, 97, 50, 53"	55	70	45	60	70	50	91	"5,5"	"34, 219, 242, 37, 83"	"25% female, 75% male"	70	5120	"PRZCUREBERRY,PRZCUREBERRY"	FIRE	  0203  0506  08  1011  13      17    2021  2324    2728      32  3435    3839        4445                        
ARCANINE	Legendary Pokémon	The direction of its belly spiral differs by area. The equator is thought to have an effect on this.	"Slow (max: 1,250,000 EXP)"	"  1, 46,  1, 43,  1, 36,  1,172, 50,245"	90	110	80	95	100	80	213	"5,5"		"25% female, 75% male"	70	5120	"PRZCUREBERRY,PRZCUREBERRY"	FIRE	  0203  0506  08  1011  13  15  17    2021  2324    2728      32  3435    3839        4445                        
POLIWAG	Tadpole Pokémon	"The skin on most of its body is moist. However, the skin on its belly spiral feels smooth."	"Parabolic (max: 1,059,860 EXP)"	"  1,145,  7, 95, 13, 55, 19,  3, 25,240, 31, 34, 37,187, 43, 56"	40	50	40	90	40	40	77	"2,2"	"54, 150, 61, 114, 170"	"50% female, 50% male"	70	5120	","	WATER	  0203    06      10    1314  161718  2021          27  29    32  3435        40      444546            H3    H6H7
POLIWHIRL	Tadpole Pokémon	"Although an ener- getic, skilled swimmer that uses all of its mus- cles, it lives on dry land."	"Parabolic (max: 1,059,860 EXP)"	"  1,145,  1, 95,  1, 55,  7, 95, 13, 55, 19,  3, 27,240, 35, 34, 43,187, 51, 56"	65	65	65	90	50	50	131	"2,2"		"50% female, 50% male"	70	5120	",POISON BARB"	WATER	  0203    06  08  10    1314  161718  2021        2627  29  3132333435        40    43444546            H3H4  H6H7
POLIWRATH	Tadpole Pokémon	"If it decides to TELEPORT randomly, it creates the illusion that it has created copies of itself."	"Parabolic (max: 1,059,860 EXP)"	"  1, 55,  1, 95,  1,  3,  1, 66, 35, 66, 51,170"	90	85	95	70	70	90	185	"2,2"		"50% female, 50% male"	70	5120	",POISON BARB"	WATER/FIGHTING	010203    06  08  10    131415161718  2021        2627  29  3132333435        40    43444546            H3H4  H6H7
ABRA	Psi Pokémon	"If it uses its abilities, it emits special alpha waves that cause machines to malfunction."	"Parabolic (max: 1,059,860 EXP)"	"1,100"	25	20	15	90	105	55	73	"8,8"	"113, 227, 112"	"25% female, 75% male"	70	5120	","	PSYCHIC	010203    0607  091011  13      1718  2021          27  2930  32333435          4142  444546  48  50        H5    
KADABRA	Psi Pokémon	"Its brain cells multiply continu- ally until it dies. As a result, it remembers everything."	"Parabolic (max: 1,059,860 EXP)"	"  1,100,  1,134,  1, 93, 16, 93, 18, 50, 21, 60, 26,105, 31,248, 38, 94, 45,115"	40	35	30	105	120	70	145	"8,8"		"25% female, 75% male"	70	5120	","	PSYCHIC	010203    0607  091011  13      1718  2021          27282930  32333435          4142  444546  48  50        H5    
