no	name	kind	entries	growth rate	rareness	attacks learned	hp	atkk	def	speed	spattk	spdef	base exp	breeding compa	egg moves	gender	happiness	steps to hatch	wild items	effort points	abilities	types	tmshms
11	METAPOD	Cocoon Pokémon	It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.	"Medium (max: 1,000,000 EXP)"	120	"  1,106,  7,106"	50	20	55	30	25	25	72	"3,3"		"50% female, 50% male"	70	3840	","	"0,0,2,0,0,0"	Shed Skin	BUG	                                                                                                                                                                                                        
12	BUTTERFREE	Butterfly Pokémon	It eats its weight in leaves every day. It fends off attackers with the needle on its head.	"Medium (max: 1,000,000 EXP)"	45	"  1, 93, 10, 93, 12, 77, 12, 78, 12, 79, 16, 16, 18, 48, 22, 18, 24, 60, 28,318, 30,366, 34,219, 36,445, 40,405"	60	45	50	70	80	80	160	"3,3"		"50% female, 50% male"	70	3840	","	"0,0,0,0,2,1"	Compoundeyes	BUG/FLYING	          06      1011      15  171819202122        27  2930  32              40  4243444546  48    51  53        58      62          68  70            7778      8283  85  87  8990            H5      
13	WEEDLE	Hairy Bug Pokémon	"While awaiting evolution, it hides from predators under leaves and in nooks of branches."	"Medium (max: 1,000,000 EXP)"	255	"  1, 40,  1, 81"	40	35	30	50	20	20	52	"3,3"		"50% female, 50% male"	70	3840	","	"0,0,0,1,0,0"	Shield Dust	BUG/POISON	                                                                                                                                                                                                        
14	KAKUNA	Cocoon Pokémon	"Its best attack involves flying around at high speed, striking with poison needles, then flying off."	"Medium (max: 1,000,000 EXP)"	120	"  1,106,  7,106"	45	25	50	35	25	25	71	"3,3"		"50% female, 50% male"	70	3840	","	"0,0,2,0,0,0"	Shed Skin	BUG/POISON	                                                                                                                                                                                                        
15	BEEDRILL	Poison Bee Pokémon	"It is docile and prefers to avoid conflict. If disturbed, however, it can ferociously strike back."	"Medium (max: 1,000,000 EXP)"	45	"  1, 31, 10, 31, 13,116, 16, 41, 19, 99, 22,228, 25,390, 28, 42, 31, 97, 34,372, 37,398, 40,283"	65	80	40	75	45	80	159	"3,3"		"50% female, 50% male"	70	3840	","	"0,2,0,0,0,1"	Swarm	BUG/POISON	          06      1011      15  17  19  2122        27      3132      36      40  4243444546        51    54      58      62      66  68  70        75    78    81828384    87  8990    H1      H5H6    
16	PIDGEY	Tiny Bird Pokémon	"It flies over its wide territory in search of prey, downing it with its highly developed claws."	"Parabolic (max: 1,059,860 EXP)"	255	"  1, 33,  5, 28,  9, 16, 13, 98, 17, 18, 21,239, 25,297, 29, 97, 33, 17, 37,355, 41,366, 45,119, 49,403"	40	45	40	56	35	35	55	"4,4"	"228, 185, 193, 211, 314, 403, 413, 253"	"50% female, 50% male"	70	3840	","	"0,0,0,1,0,0"	"Keen Eye, Tangled Feet"	NORMAL/FLYING	          06      1011          1718    21          27        32              40  424344454647      51            58                                      78      8283      87888990      H2    H5      
17	PIDGEOTTO	Bird Pokémon	"By flapping its wings with all its might, PIDGEOT can make a gust of wind capable of bending tall trees."	"Parabolic (max: 1,059,860 EXP)"	120	"  1, 33,  1, 28,  1, 16,  5, 28,  9, 16, 13, 98, 17, 18, 22,239, 27,297, 32, 97, 37, 17, 42,355, 47,366, 52,119, 57,403"	63	60	55	71	50	50	113	"4,4"		"50% female, 50% male"	70	3840	","	"0,0,0,2,0,0"	"Keen Eye, Tangled Feet"	NORMAL/FLYING	          06      1011          1718    21          27        32              40  424344454647      51            58                                      78      8283      87888990      H2    H5      
18	PIDGEOT	Bird Pokémon	"Cautious in the extreme, its hardy vitality lets it live in any kind of environment."	"Parabolic (max: 1,059,860 EXP)"	45	"  1, 33,  1, 28,  1, 16,  1, 98,  5, 28,  9, 16, 13, 98, 17, 18, 22,239, 27,297, 32, 97, 38, 17, 44,355, 50,366, 56,119, 62,403"	83	80	75	91	70	70	172	"4,4"		"50% female, 50% male"	70	3840	","	"0,0,0,3,0,0"	"Keen Eye, Tangled Feet"	NORMAL/FLYING	          06      1011      15  1718    21          27        32              40  424344454647      51            58                  68                  78      8283      87888990      H2    H5      
19	RATTATA	Mouse Pokémon	It whittles its constantly growing fangs by gnawing on hard things. It can chew apart cinder walls.	"Medium (max: 1,000,000 EXP)"	255	"  1, 33,  1, 39,  4, 98,  7,116, 10, 44, 13,228, 16,158, 19,389, 22,242, 25,372, 28,162, 31, 38, 34,283"	30	56	35	72	25	35	57	"5,5"	"103, 172, 154, 44, 68, 179, 253, 207, 387, 382"	"50% female, 50% male"	70	3840	","	"0,0,0,1,0,0"	"Run Away, Guts"	NORMAL	          06      1011121314    1718    21  232425  2728  30  32  34              4243444546                    5758                            73        78      8283    8687888990    H1        H6    
20	RATICATE	Mouse Pokémon	"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey."	"Medium (max: 1,000,000 EXP)"	127	"  1, 14,  1, 33,  1, 39,  1, 98,  1,116,  4, 98,  7,116, 10, 44, 13,228, 16,158, 19,389, 20,184, 24,242, 29,372, 34,162, 39, 38, 44,283"	55	81	60	97	50	70	116	"5,5"		"50% female, 50% male"	70	3840	","	"0,0,0,2,0,0"	"Run Away, Guts"	NORMAL	        0506      101112131415  1718    21  232425  2728  30  32  34              4243444546                    5758                  68        73  75    78      8283    8687888990    H1    H4  H6    
21	SPEAROW	Tiny Bird Pokémon	It has the stamina to fly all day on its broad wings. It fights by using its sharp beak.	"Medium (max: 1,000,000 EXP)"	255	"  1, 64,  1, 45,  5, 43,  9, 31, 13,228, 17,332, 21,119, 25, 97, 29,372, 33,355, 37, 65"	40	60	30	70	31	31	58	"4,4"	"185, 206, 184, 98, 161, 310, 143, 18, 253"	"50% female, 50% male"	70	3840	","	"0,0,0,1,0,0"	Keen Eye	NORMAL/FLYING	          06      1011          1718    21          27        32              40  424344454647      51            58                                      78      8283      87888990      H2    H5      
22	FEAROW	Beak Pokémon	It sneaks through grass without making a sound and strikes unsuspecting prey from behind.	"Medium (max: 1,000,000 EXP)"	90	"  1,365,  1, 64,  1, 45,  1, 43,  1, 31,  5, 43,  9, 31, 13,228, 17,332, 23,119, 29, 97, 35,372, 41,355, 47, 65"	65	90	65	100	61	61	162	"4,4"		"50% female, 50% male"	70	3840	","	"0,0,0,2,0,0"	Keen Eye	NORMAL/FLYING	          06      1011      15  1718    21          27        32              40  424344454647      51            58                  68                  78      8283      87888990      H2    H5      
23	EKANS	Snake Pokémon	The pattern on its belly is for intimidation. It constricts foes while they are frozen in fear.	"Medium (max: 1,000,000 EXP)"	255	"  1, 35,  1, 43,  4, 40,  9, 44, 12,137, 17,103, 20, 51, 25,254, 25,256, 25,255, 28,426, 33,380, 36,114, 41,441"	35	60	44	55	40	54	62	"5,14"	"228, 21, 180, 251, 305, 184, 342, 50"	"50% female, 50% male"	70	5120	","	"0,1,0,0,0,0"	"Intimidate, Shed Skin"	POISON	          06      1011          171819  21  23    262728      32      36    39  414243444546    49                58              66                      787980  828384    87    90          H4        
24	ARBOK	Cobra Pokémon	It lives in forests with others. It stores electricity in the pouches on its cheeks.	"Medium (max: 1,000,000 EXP)"	90	"  1,423,  1,422,  1,424,  1, 35,  1, 43,  1, 40,  1, 44,  4, 40,  9, 44, 12,137, 17,103, 20, 51, 22,242, 28,254, 28,256, 28,255, 34,426, 42,380, 48,114, 56,441"	60	85	69	80	65	79	147	"5,14"		"50% female, 50% male"	70	5120	","	"0,2,0,0,0,0"	"Intimidate, Shed Skin"	POISON	          06      1011      15  171819  21  23    262728      32      36    39  414243444546    49                58              66  68                  787980  828384    87    90          H4        
25	PIKACHU	Mouse Pokémon	It turns aggressive if it has too much electricity in its body. It discharges power through its tail.	"Medium (max: 1,000,000 EXP)"	190	"  1, 84,  1, 45,  5, 39, 10, 86, 13, 98, 18,104, 21, 21, 26, 85, 29,364, 34, 97, 37,435, 42,113, 45, 87"	35	55	30	90	50	40	82	"5,6"		"50% female, 50% male"	70	2560	"TERU-SAMA,"	"0,0,0,2,0,0"	Static	ELECTRIC	01        06      10          161718    21  232425  2728    3132  34              42434445                    565758                      70    73        78      8283    8687    90          H4  H6    
26	RAICHU	Mouse Pokémon	"To protect itself from attackers, it curls up into a ball. It lives in arid regions with minimal rainfall."	"Medium (max: 1,000,000 EXP)"	75	"  1, 84,  1, 39,  1, 98,  1, 85"	60	90	55	100	90	80	122	"5,6"		"50% female, 50% male"	70	2560	","	"0,0,0,3,0,0"	Static	ELECTRIC	01        06      10        15161718    21  232425  2728    3132  34              4243444546          52      565758                  68  70    73        78      8283    8687    90          H4  H6    
27	SANDSHREW	Mouse Pokémon	"It curls up, then rolls into foes with its back. Its sharp spines inflict severe damage."	"Medium (max: 1,000,000 EXP)"	255	"  1, 10,  3,111,  7, 28,  9, 40, 13,229, 15,129, 19,154, 21,205, 25,210, 27,328, 31,163, 33,360, 37,201"	50	75	85	40	20	30	93	"5,5"	"175, 219, 68, 229, 157, 232, 14, 306, 400"	"50% female, 50% male"	70	5120	","	"0,0,1,0,0,0"	Sand Veil	GROUND	01        06      1011          17      21  23    262728    3132        37  3940  4243444546                  56  58            65                747576  78  8081828384    87    90    H1    H4  H6  H8
28	SANDSLASH	Mouse Pokémon	"While it does not prefer to fight, even one drop of the poison it secretes from barbs can be fatal."	"Medium (max: 1,000,000 EXP)"	90	"  1, 10,  1,111,  1, 28,  3,111,  7, 28,  9, 40, 13,229, 15,129, 19,154, 21,205, 22,306, 28,210, 33,328, 40,163, 45,360, 52,201"	75	100	110	65	45	55	163	"5,5"		"50% female, 50% male"	70	5120	","	"0,0,2,0,0,0"	Sand Veil	GROUND	01        06      1011      15  17      21  23    262728    3132        37  3940  4243444546          52      56  58            65    68    71    747576  78  8081828384    87    90    H1    H4  H6  H8
29	NIDORANfE	Poison Pin Pokémon	"When it senses danger, it raises all the barbs on its body. These barbs grow slower than NIDORINO’s."	"Parabolic (max: 1,059,860 EXP)"	235	"  1, 45,  1, 10,  7, 39,  9, 24, 13, 40, 19,154, 21, 44, 25,270, 31,390, 33,260, 37,242, 43,445, 45,305"	55	47	52	41	40	40	59	"1,5"	"48, 50, 36, 116, 204, 68, 251, 228"	Always female	70	5120	","	"1,0,0,0,0,0"	"Poison Point, Rivalry"	POISON	    03    06      1011  1314    1718    21  232425  2728      32  34  36      40  4243444546                      58            65                        78      828384    87    90    H1    H4  H6    
30	NIDORINA	Poison Pin Pokémon	Its entire body is armored with hard scales. It will protect the young in its burrow with its life.	"Parabolic (max: 1,059,860 EXP)"	120	"  1, 45,  1, 10,  7, 39,  9, 24, 13, 40, 20,154, 23, 44, 28,270, 35,390, 38,260, 43,242, 50,445, 58,305"	70	62	67	56	55	55	117	"15,15"		Always female	70	5120	","	"2,0,0,0,0,0"	"Poison Point, Rivalry"	POISON	    03    06      1011  1314    1718    21  232425  2728      32  34  36      40  4243444546                      58            65                        78      828384    87    90    H1    H4  H6    
31	NIDOQUEEN	Drill Pokémon	It scans its surroundings by raising its ears out of the grass. Its toxic horn is for protection.	"Parabolic (max: 1,059,860 EXP)"	45	"  1, 10,  1, 39,  1, 24,  1, 40, 23, 34, 43,414, 58,276"	90	82	87	76	75	85	194	"15,15"		Always female	70	5120	","	"3,0,0,0,0,0"	"Poison Point, Rivalry"	POISON/GROUND	01  03  0506      101112131415  1718    21  232425262728  303132  34353637383940414243444546          52      56  5859          65    68    7172      76  78  80  828384    87    90    H1  H3H4  H6  H8
32	NIDORANmA	Poison Pin Pokémon	"It has a violent disposition and stabs foes with its horn, which oozes poison upon impact."	"Parabolic (max: 1,059,860 EXP)"	235	"  1, 43,  1, 64,  7,116,  9, 24, 13, 40, 19, 31, 21, 30, 25,270, 31,390, 33,260, 37,398, 43,445, 45, 32"	46	57	40	50	40	40	60	"1,5"	"68, 50, 48, 36, 133, 93, 251, 389"	Always male	70	5120	","	"0,1,0,0,0,0"	"Poison Point, Rivalry"	POISON	    03    06      1011  1314    1718    21  232425  2728      32  34  36          4243444546                      58            65                        78      828384    87    90    H1    H4  H6    
33	NIDORINO	Poison Pin Pokémon	One swing of its mighty tail can snap a telephone pole as if it were a matchstick.	"Parabolic (max: 1,059,860 EXP)"	120	"  1, 43,  1, 64,  7,116,  9, 24, 13, 40, 20, 31, 23, 30, 28,270, 35,390, 38,260, 43,398, 50,445, 58, 32"	61	72	57	65	55	55	118	"1,5"		Always male	70	5120	","	"0,2,0,0,0,0"	"Poison Point, Rivalry"	POISON	    03    06      1011  1314    1718    21  232425  2728      32  34  36          4243444546                      58            65                        78      828384    87    90    H1    H4  H6    
34	NIDOKING	Drill Pokémon	"Thought to live with others on quiet mountains, it is popular for its adorable nature."	"Parabolic (max: 1,059,860 EXP)"	45	"  1, 64,  1,116,  1, 24,  1, 40, 23, 37, 43,414, 58,224"	81	92	77	85	85	75	195	"1,5"		Always male	70	5120	","	"0,3,0,0,0,0"	"Poison Point, Rivalry"	POISON/GROUND	01  03  0506      101112131415  1718    21  232425262728  303132  343536373839  414243444546          52      56  5859          65    68    7172      76  78  80  828384    87    90    H1  H3H4  H6  H8
35	CLEFAIRY	Fairy Pokémon	"Rarely seen by people, it is said to be drawn by the full moon to play at deserted lakes."	"Fast (max: 800,000 EXP)"	150	"  1,  1,  1, 45,  4,227,  7, 47, 10,  3, 13,111, 16,266, 19,107, 22,358, 25,322, 28,381, 31,118, 34,356, 37,236, 40,113, 43,309, 46,361"	70	45	48	35	60	65	68	"6,6"		"75% female, 25% male"	140	2560	"TERU-SAMA,"	"2,0,0,0,0,0"	"Cute Charm, Magic Guard"	NORMAL	01  0304  06      1011  1314  161718  202122232425  272829303132333435    38      42434445      49            565758  60            67    70    73    767778      8283  858687    90          H4  H6    
36	CLEFABLE	Fairy Pokémon	"It controls balls of fire. As it grows, its six tails split from their tips to make more tails."	"Fast (max: 800,000 EXP)"	25	"  1, 47,  1,  3,  1,107,  1,118"	95	70	73	60	85	90	129	"6,6"		"75% female, 25% male"	140	2560	"TERU-SAMA,"	"3,0,0,0,0,0"	"Cute Charm, Magic Guard"	NORMAL	01  0304  06      1011  131415161718  202122232425  272829303132333435    38      42434445      49    52      565758  60            6768  70    73    767778      8283  858687    90          H4  H6    
37	VULPIX	Fox Pokémon	Its nine tails are said to be imbued with a mystic power. It can live for a thousand years.	"Medium (max: 1,000,000 EXP)"	190	"  1, 52,  4, 39,  7, 46, 11, 98, 14,261, 17,109, 21,286, 24, 53, 27,219, 31,371, 34, 83, 37,445, 41,288, 44,326, 47,126"	38	41	40	65	50	65	63	"5,5"	"185, 95, 175, 180, 50, 336, 244, 257, 394, 326, 412"	"75% female, 25% male"	70	5120	"DRAGON SCALE,"	"0,0,0,1,0,0"	Flash Fire	FIRE	        0506      1011          17    2021  23      2728      32    35    38      42434445        50              58    61        66                    777879    8283      87    90                    
38	NINETALES	Fox Pokémon	"When it wavers its big, round eyes, it begins singing a lullaby that makes everyone drowsy."	"Medium (max: 1,000,000 EXP)"	75	"  1,417,  1, 52,  1, 98,  1,109,  1,219"	73	76	75	100	81	100	178	"5,5"		"75% female, 25% male"	70	5120	"DRAGON SCALE,"	"0,0,0,1,0,1"	Flash Fire	FIRE	      040506      1011      15  17    20212223      2728      32    35    38      42434445        50              58    61        66  68                777879    8283  85  87    90                    
39	JIGGLYPUFF	Balloon Pokémon	Its fine fur feels sublime to the touch. It can expand its body by inhaling air.	"Fast (max: 800,000 EXP)"	170	"  1, 47,  5,111,  9,  1, 13, 50, 17,205, 21,  3, 25,156, 29, 34, 33,360, 37,358, 41,102, 45,304, 49, 38"	115	45	20	20	45	25	76	"6,6"		"75% female, 25% male"	70	2560	","	"2,0,0,0,0,0"	Cute Charm	NORMAL	01  03    06      1011  1314  161718  202122  2425  272829303132333435    38      42434445      49            565758  60            67    70    7374  767778      8283  858687    90          H4        
40	WIGGLYTUFF	Balloon Pokémon	"Even though it has no eyes, it can sense obstacles using ultrasonic waves it emits from its mouth."	"Fast (max: 800,000 EXP)"	50	"  1, 47,  1, 50,  1,111,  1,  3"	140	70	45	45	75	50	109	"6,6"		"75% female, 25% male"	70	2560	","	"3,0,0,0,0,0"	Cute Charm	NORMAL	01  03    06      1011  131415161718  202122  2425  272829303132333435    38      42434445      49    52      565758  60            6768  70    7374  767778      8283  858687    90          H4        
41	ZUBAT	Bat Pokémon	It loves the blood of humans and Pokémon. It flies around at night in search of neck veins.	"Medium (max: 1,000,000 EXP)"	255	"  1,141,  5, 48,  9,310, 13, 44, 17, 17, 21,109, 25,314, 29,212, 33,305, 37,114, 41,403"	40	45	35	55	30	40	54	"4,4"	"98, 228, 185, 16, 18, 174, 417, 95, 428, 413"	"50% female, 50% male"	70	3840	","	"0,0,0,1,0,0"	Inner Focus	POISON/FLYING	          06      101112        171819  21          27    30  32      36      4041424344454647  49  51            58              66                      78      8283      87888990      H2    H5      
42	GOLBAT	Bat Pokémon	It often plants its root feet in the ground during the day and sows seeds as it walks about at night.	"Medium (max: 1,000,000 EXP)"	90	"  1,103,  1,141,  1, 48,  1,310,  5, 48,  9,310, 13, 44, 17, 17, 21,109, 27,314, 33,212, 39,305, 45,114, 51,403"	75	80	70	90	65	75	171	"4,4"		"50% female, 50% male"	70	3840	","	"0,0,0,2,0,0"	Inner Focus	POISON/FLYING	          06      101112    15  171819  21          27    30  32      36      4041424344454647  49  51            58              66  68                  78      8283      87888990      H2    H5      
43	ODDISH	Weed Pokémon	"The honey it drools from its mouth smells so atrocious, it can curl noses more than a mile away."	"Parabolic (max: 1,059,860 EXP)"	255	"  1, 71,  5,230,  9, 51, 13, 77, 15, 78, 17, 79, 21, 72, 25,381, 29,363, 33,236, 37,202, 41, 80"	45	50	55	30	75	65	78	"7,7"	"14, 75, 175, 235, 204, 275, 321"	"50% female, 50% male"	70	5120	","	"0,0,0,0,1,0"	Chlorophyll	GRASS/POISON	          06    091011          17  19  2122        27        32      36          42434445              53        58                      70        75    78      8283    8687    90    H1              
44	GLOOM	Weed Pokémon	"Its petals are the largest in the world. As it walks, it scatters extremely allergenic pollen."	"Parabolic (max: 1,059,860 EXP)"	120	"  1, 71,  1,230,  1, 51,  5,230,  9, 51, 13, 77, 15, 78, 17, 79, 23, 72, 29,381, 35,363, 41,236, 47,202, 53, 80"	60	65	70	40	85	75	132	"7,7"		"50% female, 50% male"	70	5120	","	"0,0,0,0,2,0"	Chlorophyll	GRASS/POISON	          06    091011          17  19  2122        27        32      36          42434445              53    56  58  60                  70        75    78      8283    8687    90    H1              
45	VILEPLUME	Flower Pokémon	Mushrooms named tochukaso grow on its back. They grow along with the host PARAS.	"Parabolic (max: 1,059,860 EXP)"	45	"  1, 72,  1,312,  1, 78,  1, 77, 53, 80, 65, 76"	75	80	85	50	100	90	184	"7,7"		"50% female, 50% male"	70	5120	","	"0,0,0,0,3,0"	Chlorophyll	GRASS/POISON	          06    091011      15  17  19  2122        27        32      36          42434445              53    56  58  60              68  70        75    78      8283    8687    90    H1              
46	PARAS	Mushroom Pokémon	A mushroom grown larger than the host’s body controls PARASECT. It scatters poisonous spores.	"Medium (max: 1,000,000 EXP)"	190	"  1, 10,  6, 78,  6, 77, 11,141, 17,147, 22,163, 27, 74, 33,202, 38,312, 43,404"	35	70	55	25	45	55	70	"3,7"	"206, 103, 68, 60, 175, 230, 113, 228, 232, 450, 440"	"50% female, 50% male"	70	5120	"RED APRICORN,"	"0,1,0,0,0,0"	"Effect Spore, Dry Skin"	BUG/GRASS	          06    091011          17  19  2122        2728    3132      36      40  4243444546            5354      58                      70        75    78    818283    8687    90    H1        H6    
47	PARASECT	Mushroom Pokémon	"Its big eyes are actually clusters of tiny eyes. At night, its kind is drawn by light."	"Medium (max: 1,000,000 EXP)"	75	"  1,440,  1, 10,  1, 78,  1, 77,  1,141,  6, 78,  6, 77, 11,141, 17,147, 22,163, 30, 74, 39,202, 47,312, 55,404"	60	95	80	30	60	80	128	"3,7"		"50% female, 50% male"	70	5120	"RED APRICORN,"	"0,2,1,0,0,0"	"Effect Spore, Dry Skin"	BUG/GRASS	          06    091011      15  17  19  2122        2728    3132      36      40  4243444546            5354      58                  68  70        75    78    818283    8687    90    H1        H6    
48	VENONAT	Insect Pokémon	It flutters its wings to scatter dustlike scales. The scales leach toxins if they contact skin.	"Medium (max: 1,000,000 EXP)"	190	"  1, 33,  1, 50,  1,193,  5, 48, 11, 93, 13, 77, 17,141, 23, 78, 25, 60, 29, 79, 35,324, 37,428, 41,305, 47, 94"	60	55	50	45	40	55	75	"3,3"	"226, 103, 202, 324, 97, 234, 390, 450"	"50% female, 50% male"	70	5120	","	"0,0,0,0,0,1"	"Compoundeyes, Tinted Lens"	BUG/POISON	          06      1011          17  19  2122        27  29    32      36          4243444546  48                  58                      70              78      8283      87    90                    
49	VENOMOTH	Poison Moth Pokémon	"A Pokémon that lives underground. Because of its dark habitat, it is repelled by bright sunlight."	"Medium (max: 1,000,000 EXP)"	75	"  1,318,  1, 33,  1, 50,  1,193,  1, 48,  5, 48, 11, 93, 13, 77, 17,141, 23, 78, 25, 60, 29, 79, 31, 16, 37,324, 41,428, 47,305, 55, 94, 59,405"	70	65	60	90	90	75	138	"3,3"		"50% female, 50% male"	70	5120	","	"0,0,0,1,1,0"	"Shield Dust, Tinted Lens"	BUG/POISON	          06      1011      15  17  19  2122        27  29    32      36      40  4243444546  48    51  53        58      62          68  70              78      8283      87  8990            H5      
50	DIGLETT	Mole Pokémon	"Its three heads move alternately, driving it through tough soil to depths of over 60 miles."	"Medium (max: 1,000,000 EXP)"	255	"  1, 10,  1, 28,  4, 45,  7,310, 12,222, 15,189, 18, 91, 23,389, 26,414, 29,426, 34,163, 37, 89, 40, 90"	10	55	25	95	35	45	81	"5,5"	"185, 103, 246, 228, 251, 253, 157, 426, 310"	"50% female, 50% male"	70	5120	","	"0,0,0,1,0,0"	"Sand Veil, Arena Trap"	GROUND	          06      1011          17      21        262728      32      3637  3940  4243444546                      58            65                    76  78  80  8283      87    90    H1        H6    
